F S   UID     PID    PPID  C PRI  NI ADDR SZ WCHAN  TTY          TIME CMD
0 S  1000   17855   17769  0  80   0 -  3184 do_wai pts/4    00:00:00 bash
0 S  1000   17877   17769  0  80   0 -  3184 do_sel pts/6    00:00:00 bash
0 S  1000   17931   17769  0  80   0 -  3184 do_sel pts/7    00:00:00 bash
0 S  1000   24804   17769  0  80   0 -  3185 do_sel pts/0    00:00:00 bash
0 S  1000   24813   17769  0  80   0 -  3185 do_sel pts/5    00:00:00 bash
0 S  1000   24827   17769  0  80   0 -  3185 do_sel pts/9    00:00:00 bash
0 S  1000   25539   17769  0  80   0 -  3185 do_sel pts/8    00:00:00 bash
5 S    33   70514    1037  0  80   0 - 76389 -      ?        00:02:38 php-fpm7.4
4 S     0   86106    1322  0  80   0 - 42952 -      ?        00:00:00 gdm-session-wor
1 S  1000   86155       1  0  80   0 - 60551 do_pol ?        00:00:00 gnome-keyring-d
4 S  1000   86180   86106  0  80   0 - 40933 do_pol tty2     00:00:00 gdm-x-session
4 S  1000   86195   86180  0  80   0 - 248227 ep_pol tty2    00:00:38 Xorg
0 S  1000   86277    1343  0  80   0 -  2409 ep_pol ?        00:00:13 dbus-daemon
0 S  1000   86280   86180  0  80   0 - 56084 do_pol tty2     00:00:00 gnome-session-b
0 S  1000   86348    1343  0  80   0 - 77415 do_pol ?        00:00:00 at-spi-bus-laun
0 S  1000   86354   86348  0  80   0 -  2153 ep_pol ?        00:00:00 dbus-daemon
0 S  1000   86362    1343  0  80   0 - 23303 do_pol ?        00:00:00 gnome-session-c
0 S  1000   86373    1343  0  80   0 - 60486 do_pol ?        00:00:00 gvfsd
0 S  1000   86380    1343  0  80   0 - 95221 futex_ ?        00:00:00 gvfsd-fuse
0 S  1000   86382    1343  0  80   0 - 148560 do_pol ?       00:00:00 gnome-session-b
0 S  1000   86405    1343  0  80   0 - 1040216 do_pol ?      00:38:10 gnome-shell
0 S  1000   86427    1343  0  80   0 - 59363 do_pol ?        00:00:00 xdg-permission-
0 S  1000   86429    1343  0  80   0 - 145665 do_pol ?       00:00:00 gnome-shell-cal
0 S  1000   86438    1343  0  80   0 - 268361 do_pol ?       00:00:00 evolution-sourc
0 S  1000   86446    1343  0  80   0 - 140647 do_pol ?       00:00:06 goa-daemon
0 S  1000   86450    1343  0  80   0 - 228872 do_pol ?       00:00:07 evolution-calen
0 S  1000   86451    1343  0  69 -11 - 468621 do_pol ?       00:00:00 pulseaudio
0 S  1000   86460    1343  0  80   0 - 84926 do_pol ?        00:00:44 goa-identity-se
0 S  1000   86470    1343  0  80   0 - 39270 do_pol ?        00:00:00 dconf-service
